INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por tamaño de localidad, disponibilidad de excusado;;;;;;;;;;;Vivienda 11
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;Total;Total;Total;7.230.012;7.040.658;6.491.305;471.346;45.442;32.565;153.977;35.377
14 Jalisco;Total;Disponen de excusado;Total;7.066.288;7.009.597;6.475.060;460.142;42.754;31.641;45.258;11.433
14 Jalisco;Total;Disponen de excusado;Tiene descarga directa de agua;5.760.116;5.752.094;5.509.667;203.025;22.070;17.332;0;8.022
14 Jalisco;Total;Disponen de excusado;Le echan agua con cubeta;1.234.298;1.207.844;931.116;242.305;20.268;14.155;24.598;1.856
14 Jalisco;Total;Disponen de excusado;No se le puede echar agua;23.721;15.613;2.382;12.834;307;90;7.973;135
14 Jalisco;Total;Disponen de excusado;No especificado;48.153;34.046;31.895;1.978;109;64;12.687;1.420
14 Jalisco;Total;No disponen de excusado;Total;139.120;25.833;11.673;10.715;2.577;868;108.114;5.173
14 Jalisco;Total;No especificado;Total;24.604;5.228;4.572;489;111;56;605;18.771
14 Jalisco;1-249 habitantes;Total;Total;315.965;237.174;50.867;157.280;19.898;9.129;74.962;3.829
14 Jalisco;1-249 habitantes;Disponen de excusado;Total;243.993;230.479;50.078;153.543;18.227;8.631;12.903;611
14 Jalisco;1-249 habitantes;Disponen de excusado;Tiene descarga directa de agua;133.185;132.909;34.516;82.944;10.183;5.266;0;276
14 Jalisco;1-249 habitantes;Disponen de excusado;Le echan agua con cubeta;100.527;93.556;15.388;66.973;7.869;3.326;6.733;238
14 Jalisco;1-249 habitantes;Disponen de excusado;No se le puede echar agua;5.542;3.096;59;2.880;132;25;2.403;43
14 Jalisco;1-249 habitantes;Disponen de excusado;No especificado;4.739;918;115;746;43;14;3.767;54
14 Jalisco;1-249 habitantes;No disponen de excusado;Total;70.745;6.472;748;3.607;1.637;480;61.788;2.485
14 Jalisco;1-249 habitantes;No especificado;Total;1.227;223;41;130;34;18;271;733
14 Jalisco;250-499 habitantes;Total;Total;143.386;126.317;66.835;51.622;4.192;3.668;16.071;998
14 Jalisco;250-499 habitantes;Disponen de excusado;Total;128.485;124.347;66.060;50.909;3.821;3.557;3.969;169
14 Jalisco;250-499 habitantes;Disponen de excusado;Tiene descarga directa de agua;75.252;75.208;45.749;25.059;2.118;2.282;0;44
14 Jalisco;250-499 habitantes;Disponen de excusado;Le echan agua con cubeta;49.837;47.704;20.015;24.782;1.637;1.270;2.071;62
14 Jalisco;250-499 habitantes;Disponen de excusado;No se le puede echar agua;1.546;890;36;793;56;5;653;3
14 Jalisco;250-499 habitantes;Disponen de excusado;No especificado;1.850;545;260;275;10;0;1.245;60
14 Jalisco;250-499 habitantes;No disponen de excusado;Total;14.501;1.918;751;697;371;99;12.014;569
14 Jalisco;250-499 habitantes;No especificado;Total;400;52;24;16;0;12;88;260
14 Jalisco;500-999 habitantes;Total;Total;186.220;173.181;125.388;42.855;2.359;2.579;12.083;956
14 Jalisco;500-999 habitantes;Disponen de excusado;Total;173.657;170.335;123.772;41.811;2.270;2.482;3.084;238
14 Jalisco;500-999 habitantes;Disponen de excusado;Tiene descarga directa de agua;108.328;108.239;85.870;20.011;1.024;1.334;0;89
14 Jalisco;500-999 habitantes;Disponen de excusado;Le echan agua con cubeta;62.394;60.939;37.662;20.913;1.227;1.137;1.350;105
14 Jalisco;500-999 habitantes;Disponen de excusado;No se le puede echar agua;1.776;855;88;752;7;8;917;4
14 Jalisco;500-999 habitantes;Disponen de excusado;No especificado;1.159;302;152;135;12;3;817;40
14 Jalisco;500-999 habitantes;No disponen de excusado;Total;12.160;2.751;1.560;1.012;84;95;8.985;424
14 Jalisco;500-999 habitantes;No especificado;Total;403;95;56;32;5;2;14;294
14 Jalisco;1 000-2 499 habitantes;Total;Total;329.309;315.245;270.340;39.818;2.878;2.209;12.401;1.663
14 Jalisco;1 000-2 499 habitantes;Disponen de excusado;Total;316.078;312.260;268.553;38.797;2.730;2.180;3.243;575
14 Jalisco;1 000-2 499 habitantes;Disponen de excusado;Tiene descarga directa de agua;223.758;223.501;202.178;18.259;1.717;1.347;0;257
14 Jalisco;1 000-2 499 habitantes;Disponen de excusado;Le echan agua con cubeta;87.499;85.618;64.481;19.309;1.009;819;1.767;114
14 Jalisco;1 000-2 499 habitantes;Disponen de excusado;No se le puede echar agua;1.822;1.301;142;1.144;1;14;498;23
14 Jalisco;1 000-2 499 habitantes;Disponen de excusado;No especificado;2.999;1.840;1.752;85;3;0;978;181
14 Jalisco;1 000-2 499 habitantes;No disponen de excusado;Total;12.405;2.733;1.580;991;133;29;9.124;548
14 Jalisco;1 000-2 499 habitantes;No especificado;Total;826;252;207;30;15;0;34;540
14 Jalisco;2 500-4 999 habitantes;Total;Total;298.291;290.621;266.045;19.504;1.531;3.541;6.266;1.404
14 Jalisco;2 500-4 999 habitantes;Disponen de excusado;Total;290.931;288.727;264.689;19.074;1.448;3.516;1.672;532
14 Jalisco;2 500-4 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;217.905;217.625;205.916;9.132;711;1.866;0;280
14 Jalisco;2 500-4 999 habitantes;Disponen de excusado;Le echan agua con cubeta;70.377;69.440;57.685;9.403;725;1.627;809;128
14 Jalisco;2 500-4 999 habitantes;Disponen de excusado;No se le puede echar agua;995;663;210;438;7;8;324;8
14 Jalisco;2 500-4 999 habitantes;Disponen de excusado;No especificado;1.654;999;878;101;5;15;539;116
14 Jalisco;2 500-4 999 habitantes;No disponen de excusado;Total;6.519;1.755;1.234;413;83;25;4.534;230
14 Jalisco;2 500-4 999 habitantes;No especificado;Total;841;139;122;17;0;0;60;642
14 Jalisco;5 000-9 999 habitantes;Total;Total;373.767;369.116;351.117;15.798;884;1.317;3.423;1.228
14 Jalisco;5 000-9 999 habitantes;Disponen de excusado;Total;369.662;367.711;350.166;15.428;843;1.274;1.532;419
14 Jalisco;5 000-9 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;294.021;293.682;286.653;5.767;458;804;0;339
14 Jalisco;5 000-9 999 habitantes;Disponen de excusado;Le echan agua con cubeta;73.206;72.466;62.590;9.041;366;469;700;40
14 Jalisco;5 000-9 999 habitantes;Disponen de excusado;No se le puede echar agua;1.188;835;226;598;10;1;349;4
14 Jalisco;5 000-9 999 habitantes;Disponen de excusado;No especificado;1.247;728;697;22;9;0;483;36
14 Jalisco;5 000-9 999 habitantes;No disponen de excusado;Total;3.281;1.237;801;356;41;39;1.878;166
14 Jalisco;5 000-9 999 habitantes;No especificado;Total;824;168;150;14;0;4;13;643
14 Jalisco;10 000-14 999 habitantes;Total;Total;291.664;288.416;281.636;5.780;706;294;2.010;1.238
14 Jalisco;10 000-14 999 habitantes;Disponen de excusado;Total;289.076;287.639;281.028;5.626;706;279;896;541
14 Jalisco;10 000-14 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;243.056;242.652;238.851;3.220;429;152;0;404
14 Jalisco;10 000-14 999 habitantes;Disponen de excusado;Le echan agua con cubeta;44.620;44.167;41.507;2.260;277;123;390;63
14 Jalisco;10 000-14 999 habitantes;Disponen de excusado;No se le puede echar agua;403;233;95;138;0;0;164;6
14 Jalisco;10 000-14 999 habitantes;Disponen de excusado;No especificado;997;587;575;8;0;4;342;68
14 Jalisco;10 000-14 999 habitantes;No disponen de excusado;Total;1.778;615;461;143;0;11;1.110;53
14 Jalisco;10 000-14 999 habitantes;No especificado;Total;810;162;147;11;0;4;4;644
14 Jalisco;15 000-29 999 habitantes;Total;Total;677.909;668.289;619.987;44.627;2.287;1.388;7.085;2.535
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;Total;670.935;665.779;618.788;43.405;2.236;1.350;4.238;918
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;514.505;513.869;501.181;11.008;1.025;655;0;636
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;Le echan agua con cubeta;149.767;147.411;115.023;30.518;1.179;691;2.208;148
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;No se le puede echar agua;2.936;2.074;360;1.686;28;0;839;23
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;No especificado;3.727;2.425;2.224;193;4;4;1.191;111
14 Jalisco;15 000-29 999 habitantes;No disponen de excusado;Total;5.069;2.078;852;1.140;48;38;2.799;192
14 Jalisco;15 000-29 999 habitantes;No especificado;Total;1.905;432;347;82;3;0;48;1.425
14 Jalisco;30 000-49 999 habitantes;Total;Total;291.214;288.721;281.809;4.674;1.293;945;1.641;852
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;Total;288.918;287.808;281.306;4.288;1.281;933;728;382
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;234.911;234.636;231.412;2.061;644;519;0;275
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;Le echan agua con cubeta;52.027;51.506;48.435;2.027;630;414;449;72
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;No se le puede echar agua;413;267;75;185;7;0;145;1
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;No especificado;1.567;1.399;1.384;15;0;0;134;34
14 Jalisco;30 000-49 999 habitantes;No disponen de excusado;Total;1.633;674;286;367;12;9;892;67
14 Jalisco;30 000-49 999 habitantes;No especificado;Total;663;239;217;19;0;3;21;403
14 Jalisco;50 000-99 999 habitantes;Total;Total;567.843;562.581;546.335;14.166;605;1.475;3.568;1.694
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;Total;563.996;561.380;545.653;13.714;553;1.460;1.965;651
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;492.948;492.415;486.402;4.977;318;718;0;533
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;Le echan agua con cubeta;68.195;66.954;57.765;8.217;231;741;1.169;72
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;No se le puede echar agua;850;610;126;483;0;1;240;0
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;No especificado;2.003;1.401;1.360;37;4;0;556;46
14 Jalisco;50 000-99 999 habitantes;No disponen de excusado;Total;2.638;957;442;448;52;15;1.599;82
14 Jalisco;50 000-99 999 habitantes;No especificado;Total;1.209;244;240;4;0;0;4;961
14 Jalisco;100 000-249 999 habitantes;Total;Total;197.430;194.115;178.655;15.283;98;79;1.999;1.316
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;Total;195.058;193.258;178.028;15.070;85;75;1.467;333
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;173.099;172.842;167.050;5.716;22;54;0;257
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;Le echan agua con cubeta;20.079;18.989;9.956;8.955;57;21;1.060;30
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;No se le puede echar agua;351;215;42;167;6;0;136;0
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;No especificado;1.529;1.212;980;232;0;0;271;46
14 Jalisco;100 000-249 999 habitantes;No disponen de excusado;Total;1.257;676;475;184;13;4;528;53
14 Jalisco;100 000-249 999 habitantes;No especificado;Total;1.115;181;152;29;0;0;4;930
14 Jalisco;250 000-499 999 habitantes;Total;Total;401.540;395.708;374.189;18.213;1.543;1.763;4.184;1.648
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;Total;398.374;394.615;373.560;17.773;1.526;1.756;3.221;538
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;301.949;301.588;296.392;3.915;669;612;0;361
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;Le echan agua con cubeta;92.259;90.210;75.692;12.557;836;1.125;1.956;93
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;No se le puede echar agua;2.116;1.580;267;1.282;21;10;529;7
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;No especificado;2.050;1.237;1.209;19;0;9;736;77
14 Jalisco;250 000-499 999 habitantes;No disponen de excusado;Total;1.718;718;280;420;13;5;955;45
14 Jalisco;250 000-499 999 habitantes;No especificado;Total;1.448;375;349;20;4;2;8;1.065
14 Jalisco;500 000-999 999 habitantes;Total;Total;569.988;562.728;543.942;17.103;775;908;3.961;3.299
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;Total;565.099;561.057;542.833;16.588;728;908;3.093;949
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;425.907;425.328;421.143;3.721;225;239;0;579
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;Le echan agua con cubeta;132.607;130.381;117.173;12.063;493;652;1.958;268
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;No se le puede echar agua;1.459;1.015;251;743;10;11;436;8
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;No especificado;5.126;4.333;4.266;61;0;6;699;94
14 Jalisco;500 000-999 999 habitantes;No disponen de excusado;Total;2.066;1.128;639;458;31;0;844;94
14 Jalisco;500 000-999 999 habitantes;No especificado;Total;2.823;543;470;57;16;0;24;2.256
14 Jalisco;1 000 000 y más habitantes;Total;Total;2.585.486;2.568.446;2.534.160;24.623;6.393;3.270;4.323;12.717
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;Total;2.572.026;2.564.202;2.530.546;24.116;6.300;3.240;3.247;4.577
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;Tiene descarga directa de agua;2.321.292;2.317.600;2.306.354;7.235;2.527;1.484;0;3.692
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;Le echan agua con cubeta;230.904;228.503;207.744;15.287;3.732;1.740;1.978;423
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;No se le puede echar agua;2.324;1.979;405;1.545;22;7;340;5
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;No especificado;17.506;16.120;16.043;49;19;9;929;457
14 Jalisco;1 000 000 y más habitantes;No disponen de excusado;Total;3.350;2.121;1.564;479;59;19;1.064;165
14 Jalisco;1 000 000 y más habitantes;No especificado;Total;10.110;2.123;2.050;28;34;11;12;7.975
;;;;;;;;;;;
1  El total de ocupantes de viviendas particulares habitadas excluye a los de viviendas móviles, refugios y locales no construidos para habitación debido a que no se captaron;;;;;;;;;;;
   características de estas clases de vivienda. Asimismo, excluye a la población estimada de las viviendas sin información de ocupantes.;;;;;;;;;;;
